site,url,widget_id,title,shape,doctype,html_open,head_open,body_open,rendered_sha256,source_archive_sha256,evidence
en,https://en.beautyblossom.kr/thread-lifting,w20260606600bb8a29ee20,Thread Lifting | MINT & epiticon Dual Line-up - Beauty Blossom Clinic,document_bundle,true,true,true,true,556013c38ac89d4de48f60bbdc59f05f2f0dc45f8cf8c6c05ada8336c10df808,fa27c84b6586074cbcac59c11dc1080ccc50ebad423ca869d789dff230dc3f2e,pages/en/ff08061c96e5f1a3.html.gz
jp,https://jp.beautyblossom.kr/100,w20250319b1d7915f52cca,肌分析システム,document_bundle,true,true,true,true,93e94a542a196249997bf8352015ea4e91f531f79d94ec3c6a9b44d10446cc67,c655d5d1b93da332f5bf03433d21915b4258327f6ba92d3cd2caa5e39bc7d609,pages/jp/c377719db93635f2.html.gz
jp,https://jp.beautyblossom.kr/100,w2025031937cffebe713bc,3D肌診断のメリット,document_bundle,true,true,true,true,5a80606a04f96a4018899fa8508aacb0c7bed2a64c42cef70c9e1aadf53b6b08,c655d5d1b93da332f5bf03433d21915b4258327f6ba92d3cd2caa5e39bc7d609,pages/jp/c377719db93635f2.html.gz
jp,https://jp.beautyblossom.kr/107,w20250713508e5ed9d48fd,시술 전후 비교,document_bundle,true,true,true,true,4843353b0ad11aa5ce5966fa0d88ea5ccc60a833b3ed328040a58726ccab9df4,84de13564b4c52176fa8c58a6c2bf565060f3acaf34fa4225fc04849a6c0e68a,pages/jp/fba31a842439d196.html.gz
jp,https://jp.beautyblossom.kr/129,w202503042e5aa840e6cef,모던 카드 디자인,document_bundle,true,true,true,true,22da17f76ccbef5b1829fe7746b26dcaa761bc3868f33dbf3c07d6c5d17bc559,94d77f912900de137ed9d828d255d4eb1b9e3d8cb6a4fe02bb57a3a2ac8588d1,pages/jp/db7c00ef316ba915.html.gz
jp,https://jp.beautyblossom.kr/130,w20250304ede63b034852d,피부 시술 비교 테이블,document_bundle,true,true,true,true,42a0c573aebcce8d5ba8a8050193929eeae4f07f5deaaedb6be88a036944bb5a,159064ac277ee14c29f7264b29f2cee0a5a97aa2153efb7f7ee37ec27af4d136,pages/jp/0133752ab7630905.html.gz
jp,https://jp.beautyblossom.kr/28,w20250304ff2cc953ffccf,보톡스 시술 부위,document_bundle,true,true,true,true,8f907c8c19a51eadced7647da55b54e9cd7e717e7d5ba76c0927e4c58269c3e1,b17ce72527dccc81c8f1496d5dcbb83c9228399e9733814f6101895bd8ac6389,pages/jp/384345820efc6302.html.gz
jp,https://jp.beautyblossom.kr/39,w20250916e45ea35b780e0,의료장비 전문 솔루션,document_bundle,true,true,true,true,37a500ceeb52dad2cf41a0821b1b99cc642490992fc4ff9ee97cc98ce6f62857,db0e679d61f5ac39406d13442cbe4ed19a36fbf32de22d85fd626b24667b27c4,pages/jp/c23aa467466a78a6.html.gz
jp,https://jp.beautyblossom.kr/3D,w202508149fe021171d219,EVE V MUSE 리포트 안내,partial_document,true,true,true,false,82571fc3a8c3c76171b7f2d1a7b7dc98b5512238bf4d099c2e81a5f10cbab2d4,e0bfd568d7acef9951f8f674485376b7f443ce73259b27e6d0d2b22c587abafb,pages/jp/2c3b41117b457a13.html.gz
jp,https://jp.beautyblossom.kr/55,w20250304029ae527d8374,바디 부위별 시술 안내,document_bundle,true,true,true,true,2c216707ba1cd7e91af9cbc53a6f0106e5512390c6fd0ed5ba1176ccd0391fa6,15bd5eff19415ea4c5a41a97530368daa902313bcd89ce82b17fd58d04144d9f,pages/jp/d76a685aa621688c.html.gz
jp,https://jp.beautyblossom.kr/65,w20250304189e2ba75dd58,3단계 필링 시스템,document_bundle,true,true,true,true,c2a25c1d472b52ebbeba24b5c1292ee5aff415fdcd4b810aede4192d8750175d,eba68774f02367780c3cd51076e35a0a37763775eed66ccba92f468ccdb15296,pages/jp/8017a13e7ec094b6.html.gz
jp,https://jp.beautyblossom.kr/67,w20250304016185771a4f6,3단계 필링 시스템,document_bundle,true,true,true,true,2179691656ce82a619f71de805838a9161f38077109e5106d44455cbe02fb00f,2c15b41b0b2ba3c02b65b0958909410ef814e8bfef68055eac49cbc8431934d8,pages/jp/5a2c3532a07c1dff.html.gz
jp,https://jp.beautyblossom.kr/69,w20250304e6aa487692935,여드름 종류와 특징,document_bundle,true,true,true,true,9cf3010748aa60bdb920947d21999c2af0496d4d409b7414405e8d931f70fe88,9e7ed780010f42e2498b641d2ec9daa67a568431167e8d031d92bdd946457926,pages/jp/d6f1fcb693350e96.html.gz
